選挙区,議員名,ひらがな,写真,所属会派,プロフィール,URL
宮城県,石垣　のりこ[小川　のり子],いしがき　のりこ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019003.jpg,立憲民主・社民,１９７４年８月１日、宮城県生まれ。宮城県第二女子高等学校（現：宮城県仙台二華高等学校）を経て、１９９８年宮城教育大学教育学部小学校教員養成課程（教育心理学専攻）卒業。同年４月株式会社エフエム仙台入社。制作部に所属し、パーソナリティと番組制作全般を担当。パーソナリティとして延べ２０００人以上にインタビュー。制作者としては、カフェライブの開催、カフェやベーカリーとタイアップした商品開発、リスナー参加型農業体験などの企画を多数実施。２０１１年の東日本大震災後、防災士の資格を取得し、エフエム仙台の震災復興応援プロジェクト「Ｈｏｐｅ　ｆｏｒ　ＭＩＹＡＧＩ」の番組を担当、エフエム仙台発行の「サバ・メシ防災ハンドブック」の企画にも携わってきた。東北大学東北メディカル・メガバンク機構倫理委員会委員、仙台市中心部震災メモリアル拠点事業検討委員会委員を経験,/japanese/joho1/kousei/giin/profile/7019003.htm
宮城県,櫻井　　　充,さくらい　みつる,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g5998030.jpg,自由民主党,１９５６年仙台市生まれ。仙台第一高等学校を経て、１９８５年東京医科歯科大学医学部卒業。１９９３年東北大学医学部大学院卒業。東北大附属病院第一内科医員、国立療養所岩手病院勤務の後、１９９６年、同第二内科医長となる○アレルギー疾患や呼吸器疾患、拒食症、ひきこもり、不登校の子供たちの心の治療にあたる○医学博士。日本アレルギー学会会員○地域金融の円滑化に関する法案、シックハウス対策二法案を立案提出、また、歯科医療改革案をとりまとめる○超党派の薬害ヤコブ病問題を考える議員の会の事務局長を務め、和解締結を後押しする○元金融問題及び経済活性化に関する特別委員長○元財務副大臣、元厚生労働副大臣○著書「新・破れない殻」などを出版,/japanese/joho1/kousei/giin/profile/5998030.htm
秋田県,寺田　　　静,てらた　しずか,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019030.jpg,各派に属しない議員,昭和５０年３月２３日秋田県横手市生まれ。秋田県立横手城南高等学校中退、平成１０年３月早稲田大学人間科学部卒業。平成１０年東京大学生産技術研究所秘書として入所。フリースクール等にてボランティアを務める。平成１５年衆議院議員寺田学公設秘書。平成２１年衆議院議員川口博公設秘書。電気自動車普及協会の立ち上げに参加。平成２５年参議院議員寺田典城公設秘書。県内企業の海外事業や取引のサポートに携わる,/japanese/joho1/kousei/giin/profile/7019030.htm
秋田県,石井　　浩郎,いしい　ひろお,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010005.jpg,自由民主党,昭和３９年６月２１日、秋田県南秋田郡八郎潟町に生まれる。秋田県立秋田高等学校を経て、早稲田大学第二文学部へ進学。（株）プリンスホテルへ入社。同社に勤務しながらプリンスホテル硬式野球部に在籍し、３年間社会人野球でプレーする。平成２年にドラフト３位で近鉄バファローズへ入団し、以後１３年間読売巨人軍、千葉ロッテマリーンズ、横浜ベイスターズに於いてプロ野球選手としてプレーする。現役引退後は日本テレビの野球解説者を務めた後、西武ライオンズ２軍監督に就任し若手選手の育成に励む。その後、平成２２年７月の参議院選挙へ出馬し、初当選を果たす○現在国土交通副大臣兼内閣府副大臣兼復興副大臣、国土交通委員会委員、国家基本政策委員会委員、東日本大震災復興特別委員会委員,/japanese/joho1/kousei/giin/profile/7010005.htm
山形県,芳賀　　道也,はが　みちや,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019032.jpg,国民民主党・新緑風会,昭和３３年３月２日山形県山形市に生まれる。山形大学附属中学校・山形県立長井高等学校を経て、昭和５１年日本大学文理学部に入学。昭和５５年に卒業後、山形放送（株）に入社、アナウンサーとして「ズームイン！！朝！」の山形のキャスターを務めるなど様々なＴＶ・ラジオ番組のパーソナリティ・アナウンサーを担当。アナウンス責任者・報道制作局アナウンス統括部長を経て、制作部専任部長などを歴任。平成３１年２月２８日に山形放送（株）を退社。令和元年７月山形県選挙区より、参議院議員に初当選,/japanese/joho1/kousei/giin/profile/7019032.htm
山形県,舟山　　康江,ふなやま　やすえ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007052.jpg,国民民主党・新緑風会,昭和４１年５月２６日埼玉県越谷市生まれ。埼玉県立浦和第一女子高等学校、北海道大学農学部農業経済学科卒業。平成２年農林水産省に入省。経済局国際部、関東農政局、経済企画庁、近畿農政局、大臣官房勤務の後、平成１２年に結婚、同省を退官、夫の実家である山形県小国町に転居、小国ガスエネルギー株式会社専務に就任。平成１９年参院選において民主党公認で初当選。平成２１年鳩山由紀夫内閣で農林水産大臣政務官に就任。平成２５年参院選で惜敗後、山形県小国町でＪＡ女性部の一員として地域農業の現場から活動を再開。平成２６年一般社団法人置賜自給圏推進機構設立、常務理事に就任。平成２８年参院選において無所属で野党統一候補として再選。平成３０年会派国会対策委員長に就任。令和２年国民民主党入党、政務調査会長に就任。令和３年党筆頭副代表に就任。令和４年参院選において国民民主党公認で３選、会派議員会長に就任,/japanese/joho1/kousei/giin/profile/7007052.htm
福島県,森　　まさこ[三好　　雅子],もり　まさこ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007061.jpg,自由民主党,昭和３９年福島県いわき市生。弁護士。母は農家、父はサラリーマン、夫、子供２人。いわき市立植田小・中、福島県立磐城女子高、東北大学法学部卒。米国ニューヨーク大学法科大学院客員研究員（消費者保護法）○金融庁課長補佐（貸金業法）・検査官（証券・金融）、国連女性会議女性の地位委日弁連代表、日弁連国際人権委・消費者問題対策委・犯罪収益剥奪ＰＴ、弁護士会子どもの権利委・男女共同参画ＰＴ○国務大臣女性活力・子育て支援担当、内閣府特命担当大臣（消費者及び食品安全、少子化対策、男女共同参画）・法務大臣○参議院行政監視委員長・環境委員長・東日本大震災復興特別委員会理事・法務委員会理事・決算委員・消費者問題に関する特別委員○党副幹事長・法務部会長・情報調査局次長・参議院副幹事長・環境部会長・女性活躍推進特別委員長○現在内閣総理大臣補佐官○著書「取り立てに怯えた少女が大臣になった」,/japanese/joho1/kousei/giin/profile/7007061.htm
福島県,星　　　北斗,ほし　ほくと,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022035.jpg,自由民主党,昭和３９年３月１８日生まれ、福島県郡山市出身○平成元年東邦大学医学部卒業○平成元年厚生省入省。平成４年労働省労働基準局安全衛生部化学物質調査係長。平成８年ハーバード大学公衆衛生大学院客員研究員。平成１０年（財）星総合病院副理事長。平成１２年（公社）日本医師会常任理事。平成１７年（一社）福島県医師会常任理事。平成１８年（公社）日本医師会代議員。平成１８年（一社）郡山医師会理事。平成２０年（財）星総合病院理事長。平成２７年（一社）福島県医師会副会長。平成２９年（公社）全日本病院協会理事。平成３０年（公社）日本医師会参与○現在（公社）星総合病院理事長。東邦大学医学部客員教授。福島県医師会参与。ポラリス保健看護学院院長○福島県立医科大学大学院医学研究科（公衆衛生学講座）学位,/japanese/joho1/kousei/giin/profile/7022035.htm
茨城県,小沼　　　巧,おぬま　たくみ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019009.jpg,立憲民主・社民,昭和６０年１２月２１日茨城県鉾田市に生まれる、清真学園高等学校・早稲田大学政治経済学部政治学科卒業、タフツ大学フレッチャー法律外交大学院国際ビジネス学修士○経済産業省貿易管理部、経済産業大臣室、資源エネルギー庁、商務流通保安グループ、通商政策局○ボストン・コンサルティング・グループ○現在国民生活・経済及び地方に関する調査会理事、農林水産委員会、地方デジタル特別委員会所属、立憲民主党茨城県連幹事長,/japanese/joho1/kousei/giin/profile/7019009.htm
茨城県,上月　　良祐,こうづき　りょうすけ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013022.jpg,自由民主党,昭和３７年１２月２６日兵庫県神戸市生まれ。昭和６２年東京大学法学部を卒業。中・高時代は柔道部、大学時代は洋弓部でともに主将。同年、自治省へ入省。青森県庁、鹿児島県庁学事文書課長・高齢者対策課長・財政課長、内閣官房中央省庁等改革推進本部事務局、総務省自治政策課課長補佐・地方債課課長補佐、総理官邸内閣官房副長官秘書官などを経て、平成１７年に茨城県庁へ赴任。その後８年にわたり総務部長、副知事を歴任。第２３回参議院議員通常選挙にて初当選。参議院内閣委筆頭理事、農水大臣政務官、参議院農水委員長、参議院自民党国会対策副委員長などを歴任○現在参議院内閣委理事、自民党副幹事長、自民党農産物輸出促進対策委員長、自民党孤独・孤立対策特命委事務局長、参議院自民党不安に寄り添う政治のあり方勉強会事務局長,/japanese/joho1/kousei/giin/profile/7013022.htm
